,net_name,train_type,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
167,alexnet,finetune,4,2_v_5,8,both,0.585,0.5913978494623656,0.4205607476635514,0.4316013994862049
168,alexnet,train_finetune_data,0,RVvGV,1,present,1.0,,,
169,alexnet,train_finetune_data,0,RVvGV,2,present,0.99,,,
170,alexnet,train_finetune_data,0,RVvGV,4,present,0.98,,,
171,alexnet,train_finetune_data,0,RVvGV,8,present,0.8,,,
172,alexnet,train_finetune_data,0,RVvGV,1,absent,1.0,,,
173,alexnet,train_finetune_data,0,RVvGV,2,absent,1.0,,,
174,alexnet,train_finetune_data,0,RVvGV,4,absent,1.0,,,
175,alexnet,train_finetune_data,0,RVvGV,8,absent,0.99,,,
176,alexnet,train_finetune_data,0,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
177,alexnet,train_finetune_data,0,RVvGV,2,both,0.995,0.9949494949494949,0.009900990099009901,4.902431033730798
178,alexnet,train_finetune_data,0,RVvGV,4,both,0.99,0.9948979591836735,0.0196078431372549,4.63075222854786
179,alexnet,train_finetune_data,0,RVvGV,8,both,0.895,0.9876543209876543,0.16806722689075632,3.2080286342105935
180,alexnet,train_finetune_data,1,RVvGV,1,present,1.0,,,
181,alexnet,train_finetune_data,1,RVvGV,2,present,1.0,,,
182,alexnet,train_finetune_data,1,RVvGV,4,present,0.98,,,
183,alexnet,train_finetune_data,1,RVvGV,8,present,0.91,,,
184,alexnet,train_finetune_data,1,RVvGV,1,absent,1.0,,,
185,alexnet,train_finetune_data,1,RVvGV,2,absent,1.0,,,
186,alexnet,train_finetune_data,1,RVvGV,4,absent,1.0,,,
187,alexnet,train_finetune_data,1,RVvGV,8,absent,1.0,,,
188,alexnet,train_finetune_data,1,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
189,alexnet,train_finetune_data,1,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
190,alexnet,train_finetune_data,1,RVvGV,4,both,0.99,0.9948979591836735,0.0196078431372549,4.63075222854786
191,alexnet,train_finetune_data,1,RVvGV,8,both,0.955,0.9945054945054945,0.08256880733944955,3.9310461995668793
192,alexnet,train_finetune_data,2,RVvGV,1,present,1.0,,,
193,alexnet,train_finetune_data,2,RVvGV,2,present,1.0,,,
194,alexnet,train_finetune_data,2,RVvGV,4,present,0.99,,,
195,alexnet,train_finetune_data,2,RVvGV,8,present,0.92,,,
196,alexnet,train_finetune_data,2,RVvGV,1,absent,1.0,,,
197,alexnet,train_finetune_data,2,RVvGV,2,absent,1.0,,,
198,alexnet,train_finetune_data,2,RVvGV,4,absent,1.0,,,
199,alexnet,train_finetune_data,2,RVvGV,8,absent,0.97,,,
200,alexnet,train_finetune_data,2,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
201,alexnet,train_finetune_data,2,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
202,alexnet,train_finetune_data,2,RVvGV,4,both,0.995,0.9949494949494949,0.009900990099009901,4.902431033730798
203,alexnet,train_finetune_data,2,RVvGV,8,both,0.945,0.968421052631579,0.0761904761904762,3.2892502168718556
204,alexnet,train_finetune_data,3,RVvGV,1,present,1.0,,,
205,alexnet,train_finetune_data,3,RVvGV,2,present,1.0,,,
206,alexnet,train_finetune_data,3,RVvGV,4,present,1.0,,,
207,alexnet,train_finetune_data,3,RVvGV,8,present,0.98,,,
208,alexnet,train_finetune_data,3,RVvGV,1,absent,1.0,,,
209,alexnet,train_finetune_data,3,RVvGV,2,absent,1.0,,,
210,alexnet,train_finetune_data,3,RVvGV,4,absent,1.0,,,
211,alexnet,train_finetune_data,3,RVvGV,8,absent,0.96,,,
212,alexnet,train_finetune_data,3,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
213,alexnet,train_finetune_data,3,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
214,alexnet,train_finetune_data,3,RVvGV,4,both,1.0,0.995,0.005,5.151658607097801
215,alexnet,train_finetune_data,3,RVvGV,8,both,0.97,0.9607843137254902,0.02040816326530612,3.8052520178068217
216,alexnet,train_finetune_data,0,RVvRHGV,1,present,1.0,,,
217,alexnet,train_finetune_data,0,RVvRHGV,2,present,1.0,,,
218,alexnet,train_finetune_data,0,RVvRHGV,4,present,0.97,,,
219,alexnet,train_finetune_data,0,RVvRHGV,8,present,0.89,,,
220,alexnet,train_finetune_data,0,RVvRHGV,1,absent,1.0,,,
221,alexnet,train_finetune_data,0,RVvRHGV,2,absent,1.0,,,
222,alexnet,train_finetune_data,0,RVvRHGV,4,absent,1.0,,,
223,alexnet,train_finetune_data,0,RVvRHGV,8,absent,0.95,,,
224,alexnet,train_finetune_data,0,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
225,alexnet,train_finetune_data,0,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
226,alexnet,train_finetune_data,0,RVvRHGV,4,both,0.985,0.9948453608247423,0.02912621359223301,4.459072779073604
227,alexnet,train_finetune_data,0,RVvRHGV,8,both,0.92,0.9468085106382979,0.10377358490566038,2.8750050996879417
228,alexnet,train_finetune_data,1,RVvRHGV,1,present,1.0,,,
